epoch,cost,mse,gamma_min,gamma_max,gamma_mean,gamma_std,adjoint_grad_min,adjoint_grad_max,adjoint_grad_mean,adjoint_grad_std,adjoint_grad_norm,scaled_grad_min,scaled_grad_max,scaled_grad_norm,param_grad_norm,delta_gamma_mean_abs,delta_gamma_max_abs,delta_gamma_std,tv_raw,tv_loss,tv_weight,tv_type
0,3.357430219258495e-12,0.005126451142132282,0.9933071732521057,0.9933090806007385,0.9933079481124878,3.4710183172137477e-07,-1.3085442018140325e-13,7.083988614892817e-14,-1.3006275608384507e-16,2.6408666174552488e-15,4.786200732617707e-13,-0.00013085441605653614,7.08398874849081e-05,0.00047862002975307405,2.850819591221109e-05,0.00020631079678423703,0.00032979249954223633,2.7164907805854455e-05,0.0,0.0,0.0,anisotropic
1,3.3564555215054304e-12,0.005127698183059692,0.9934720993041992,0.9936379194259644,0.9935142993927002,2.717140523600392e-05,-1.3075937630845774e-13,7.076843044949779e-14,-1.298883731758291e-16,2.638913994753591e-15,4.782654849412593e-13,-0.00013075937749817967,7.076843030517921e-05,0.0004782654868904501,6.127854350187887e-05,0.0023778053000569344,0.023151099681854248,0.003353048814460635,0.0,0.0,0.0,anisotropic
2,3.3597590855249937e-12,0.005125640891492367,0.9703595042228699,0.9992432594299316,0.9930405616760254,0.003352705854922533,-1.3023378220029108e-13,7.112415718229029e-14,-1.3006341782833511e-16,2.638712824428618e-15,4.782306820515225e-13,-0.0001302337768720463,7.112415914889425e-05,0.00047823067870922387,0.001989970870069903,0.002560315653681755,0.024934589862823486,0.0034799270797520876,0.0,0.0,0.0,anisotropic
3,3.3573794785968225e-12,0.0051262276247143745,0.9891481995582581,0.997555673122406,0.9938753843307495,0.0007834804710000753,-1.3077303725583106e-13,7.074663798583083e-14,-1.2993244535886592e-16,2.639622537813969e-15,4.783939086885902e-13,-0.0001307730417465791,7.074663881212473e-05,0.00047839389299042523,0.0005152287947265032,0.0006176236784085631,0.004566371440887451,0.0008244679775089025,0.0,0.0,0.0,anisotropic
4,3.356455304664996e-12,0.00512689771130681,0.9922796487808228,0.9952139854431152,0.9936319589614868,0.0002496630768291652,-1.3075552739074542e-13,7.076274516435582e-14,-1.299073520078035e-16,2.639072813431201e-15,4.782943247190474e-13,-0.00013075552124064416,7.076274778228253e-05,0.0004782943578902632,0.0002084133189820935,0.00022741517750546336,0.0022121667861938477,0.0003022688324563205,0.0,0.0,0.0,anisotropic
5,3.35629831219042e-12,0.005127331707626581,0.9923028945922852,0.9951985478401184,0.9936472177505493,0.0001826016086852178,-1.307313767873533e-13,7.075626705637522e-14,-1.2985285073160362e-16,2.6384017515787388e-15,4.781725688150773e-13,-0.0001307313796132803,7.07562649040483e-05,0.0004781725874636322,0.00027644397260434913,0.00024099767324514687,0.00269162654876709,0.0003429585776757449,0.0,0.0,0.0,anisotropic
6,3.3562423673583197e-12,0.005127373617142439,0.9907944202423096,0.9957268238067627,0.9936734437942505,0.0002859393134713173,-1.3074223236160532e-13,7.074177940484538e-14,-1.2983297192712274e-16,2.638540241465615e-15,4.781974512549358e-13,-0.00013074223534204066,7.074177847243845e-05,0.0004781974130310118,0.00026127873218397284,0.0003298347583040595,0.0033870935440063477,0.0004729369829874486,0.0,0.0,0.0,anisotropic
7,3.356226754847036e-12,0.005128360353410244,0.990103542804718,0.9961205720901489,0.9937193393707275,0.00037759129190817475,-1.3080209387405367e-13,7.078175258369221e-14,-1.2982886911128448e-16,2.63843690344605e-15,4.781786945573518e-13,-0.00013080208736937493,7.078175258357078e-05,0.0004781787283718586,0.0003996685451974981,0.00046164882951416075,0.005696356296539307,0.0006575806764885783,0.0,0.0,0.0,anisotropic
8,3.3557466701250593e-12,0.005128281190991402,0.9881219863891602,0.9969928860664368,0.9937660694122314,0.0005444040289148688,-1.3071268785240509e-13,7.07408781617895e-14,-1.2974375553497522e-16,2.6378886613709395e-15,4.780788395372659e-13,-0.00013071269495412707,7.07408762536943e-05,0.0004780788440257311,0.0007840646961310269,0.0005859245429746807,0.006670117378234863,0.0008214847184717655,0.0,0.0,0.0,anisotropic
9,3.3554934004975667e-12,0.005127554293721914,0.9872052073478699,0.9974228143692017,0.9938091039657593,0.0006278544315136969,-1.3071016708235406e-13,7.069996985856891e-14,-1.297028464906008e-16,2.6374352869859216e-15,4.779964943822657e-13,-0.00013071016292087734,7.069997081998736e-05,0.00047799648018553853,0.0012304881888206309,0.0006664565880782902,0.008532702922821045,0.0009285483392886817,0.0,0.0,0.0,anisotropic
