epoch,cost,mse,gamma_min,gamma_max,gamma_mean,gamma_std,adjoint_grad_min,adjoint_grad_max,adjoint_grad_mean,adjoint_grad_std,adjoint_grad_norm,scaled_grad_min,scaled_grad_max,scaled_grad_norm,param_grad_norm,delta_gamma_mean_abs,delta_gamma_max_abs,delta_gamma_std,tv_raw,tv_loss,tv_weight,tv_type
0,3.3574868146118986e-12,0.005125727970153093,0.9932896494865417,0.9932897090911865,0.9932898879051208,9.878318163458744e-10,-1.308601122428088e-13,7.084403322223792e-14,-1.300739792703962e-16,2.6409862608590485e-15,4.786417573052204e-13,-0.00013086010585539043,7.084403478074819e-05,0.00047864177031442523,3.149797159996618e-05,2.4445762392133474e-06,2.5033950805664062e-06,6.798641649652382e-09,0.0,0.0,0.0,anisotropic
1,3.357478791515822e-12,0.00512573542073369,0.9932921528816223,0.9932922124862671,0.9932920932769775,4.3156681783784734e-08,-1.3085936685381522e-13,7.084345723983379e-14,-1.300725896069671e-16,2.6409705907495242e-15,4.786389383795719e-13,-0.00013085936370771378,7.084345998009667e-05,0.0004786389472428709,3.148206976213587e-05,2.264207068947144e-06,2.2649765014648438e-06,6.728386292564892e-09,0.0,0.0,0.0,anisotropic
2,3.3574716357814838e-12,0.005125744268298149,0.9932944178581238,0.9932944178581238,0.9932945370674133,0.0,-1.308585401496587e-13,7.084306421654626e-14,-1.3007076319217458e-16,2.640953861848816e-15,4.78635902613489e-13,-0.00013085853424854577,7.08430670783855e-05,0.0004786359204445034,3.146751974174964e-05,2.086162567138672e-06,2.086162567138672e-06,0.0,0.0,0.0,0.0,anisotropic
3,3.357465130568449e-12,0.005125750787556171,0.9932965040206909,0.9932965040206909,0.9932965636253357,0.0,-1.3085780831319227e-13,7.084273217963094e-14,-1.3006904265650047e-16,2.6409384034975286e-15,4.786330836878405e-13,-0.00013085780665278435,7.084273238433525e-05,0.00047863306826911867,3.14541231349624e-05,1.9664366845972836e-06,1.9669532775878906e-06,5.524984469928995e-09,0.0,0.0,0.0,anisotropic
4,3.3574597095575864e-12,0.005125758238136768,0.9932984113693237,0.9932984709739685,0.9932984709739685,4.276803622360603e-08,-1.3085734752726896e-13,7.084212231590892e-14,-1.3006857943535744e-16,2.6409292978933456e-15,4.786314031744732e-13,-0.00013085734099149704,7.084212120389566e-05,0.0004786314384546131,3.144194472132953e-05,1.8079026631312445e-06,1.8477439880371094e-06,2.8061020174163787e-08,0.0,0.0,0.0,anisotropic
5,3.357453421184986e-12,0.005125764291733503,0.9933002591133118,0.9933003187179565,0.9933003783226013,5.087840193596094e-08,-1.3085672411101978e-13,7.084172251635781e-14,-1.3006717653703855e-16,2.6409157453661895e-15,4.786289637195851e-13,-0.00013085672981105745,7.084172102622688e-05,0.00047862896462902427,3.143029837326284e-05,1.7615202523302287e-06,1.7881393432617188e-06,2.9632282405600563e-08,0.0,0.0,0.0,anisotropic
6,3.357449084376296e-12,0.005125769414007664,0.9933019876480103,0.993302047252655,0.9933021068572998,4.857928104229359e-08,-1.3085635819278657e-13,7.084112620516295e-14,-1.3006688536946294e-16,2.6409079103114274e-15,4.786275542567608e-13,-0.0001308563514612615,7.084112439770252e-05,0.0004786275385413319,3.141958424888674e-05,1.6202247934415936e-06,1.6689300537109375e-06,2.3040692909148675e-08,0.0,0.0,0.0,anisotropic
7,3.35744301284413e-12,0.005125775933265686,0.993303656578064,0.9933037161827087,0.9933035373687744,1.432261509393129e-08,-1.3085559925126583e-13,7.084100423241854e-14,-1.3006499278022141e-16,2.640893510751324e-15,4.786248979614383e-13,-0.00013085559476166964,7.084100070642307e-05,0.0004786248900927603,3.140902472960053e-05,1.6058675100794062e-06,1.6093254089355469e-06,1.3933977527358365e-08,0.0,0.0,0.0,anisotropic
8,3.3574391097163092e-12,0.005125782918184996,0.9933052659034729,0.9933053255081177,0.9933052659034729,2.0298014380415452e-09,-1.3085524688555977e-13,7.08404621313323e-14,-1.300646619079764e-16,2.6408860992130356e-15,4.786235969188313e-13,-0.00013085524551570415,7.084046228555962e-05,0.00047862358042038977,3.1399331808686886e-05,1.4982269931351766e-06,1.5497207641601562e-06,2.0437031622577706e-08,0.0,0.0,0.0,anisotropic
9,3.3574347729076193e-12,0.005125787109136581,0.9933067560195923,0.9933068156242371,0.9933068752288818,2.2586117864875632e-08,-1.3085497583501665e-13,7.083998101661826e-14,-1.3006429133106197e-16,2.640878899432984e-15,4.786222958762243e-13,-0.00013085496902931482,7.083998207235709e-05,0.00047862224164418876,3.139007319154653e-05,1.482076186221093e-06,1.4901161193847656e-06,2.0361472508056977e-08,0.0,0.0,0.0,anisotropic
