epoch,frequency_cutoff,modes,mse,fft_mse
0,5,45,0.010238228365778923,0.0054746330715715885
50,5,45,0.008372139185667038,0.0054746330715715885
100,5,45,0.007193613797426224,0.0054746330715715885
150,5,45,0.006472709588706493,0.0054746330715715885
200,5,45,0.006039654836058617,0.0054746330715715885
250,5,45,0.00578514626249671,0.0054746330715715885
300,5,45,0.005639815703034401,0.0054746330715715885
350,5,45,0.005559556186199188,0.0054746330715715885
400,5,45,0.00551677867770195,0.0054746330715715885
450,5,45,0.005494799464941025,0.0054746330715715885
500,5,45,0.005483926273882389,0.0054746330715715885
550,5,45,0.0054787527769804,0.0054746330715715885
600,5,45,0.005476388148963451,0.0054746330715715885
650,5,45,0.00547535065561533,0.0054746330715715885
700,5,45,0.00547491479665041,0.0054746330715715885
750,5,45,0.005474738776683807,0.0054746330715715885
800,5,45,0.0054746707901358604,0.0054746330715715885
850,5,45,0.005474645644426346,0.0054746330715715885
900,5,45,0.005474636796861887,0.0054746330715715885
950,5,45,0.0054746344685554504,0.0054746330715715885
1000,5,45,0.0054746330715715885,0.0054746330715715885
