epoch,cost,mse,gamma_min,gamma_max,gamma_mean,gamma_std,adjoint_grad_min,adjoint_grad_max,adjoint_grad_mean,adjoint_grad_std,adjoint_grad_norm,scaled_grad_min,scaled_grad_max,scaled_grad_norm,param_grad_norm,delta_gamma_mean_abs,delta_gamma_max_abs,delta_gamma_std,tv_raw,tv_loss,tv_weight,tv_type
0,6.89223938338257e-12,0.01600997895002365,0.9933039546012878,0.9933047294616699,0.9933043718338013,1.7838290489180508e-07,-1.3747203787654871e-13,1.052982367640877e-13,-2.4701026577064137e-16,3.5063117316422527e-15,6.362735859022361e-13,-0.00013747204502578825,0.00010529823339311406,0.0006362736457958817,5.796582469878548e-05,1.922844603541307e-06,1.9669532775878906e-06,2.7956080117519377e-08,0.0,0.0,0.0,anisotropic
1,6.892231143446059e-12,0.016010021790862083,0.9933059215545654,0.9933066368103027,0.9933062791824341,1.7885454894894792e-07,-1.3747141446029953e-13,1.0529759301904779e-13,-2.470091540398981e-16,3.5062969085656757e-15,6.362708753968049e-13,-0.00013747141929343343,0.00010529759310884401,0.0006362708518281579,5.792583274485825e-05,1.7481506802141666e-06,1.7881393432617188e-06,2.866219972474937e-08,0.0,0.0,0.0,anisotropic
2,6.8922194340625964e-12,0.016010060906410217,0.9933076500892639,0.993308424949646,0.9933080673217773,1.7015672426623496e-07,-1.374708994642676e-13,1.0529707802301586e-13,-2.47007433504224e-16,3.5062827207638092e-15,6.362683275216996e-13,-0.0001374708954244852,0.0001052970765158534,0.0006362683488987386,5.789061880648899e-05,1.6145058907568455e-06,1.6689300537109375e-06,2.2690214152021326e-08,0.0,0.0,0.0,anisotropic
3,6.8922107604452165e-12,0.0160101018846035,0.9933092594146729,0.9933100342750549,0.993309736251831,1.7297151089223917e-07,-1.3747041157328999e-13,1.0529655625072035e-13,-2.470063747130399e-16,3.5062702270278372e-15,6.362660506971374e-13,-0.00013747041521128267,0.00010529655264690518,0.0006362660205923021,5.785957264406539e-05,1.5068744687596336e-06,1.5497207641601562e-06,2.7202144536886408e-08,0.0,0.0,0.0,anisotropic
4,6.892204688913051e-12,0.016010135412216187,0.9933107495307922,0.9933115243911743,0.9933110475540161,1.7180165912122902e-07,-1.374699101297852e-13,1.052961090173242e-13,-2.4700560708943147e-16,3.506259215599523e-15,6.362640449231183e-13,-0.00013746990589424968,0.00010529610881349072,0.000636264041531831,5.783195071411729e-05,1.418351530446671e-06,1.4901161193847656e-06,2.4599442483008715e-08,0.0,0.0,0.0,anisotropic
5,6.892194280572195e-12,0.01601017266511917,0.9933121800422668,0.9933129549026489,0.9933127164840698,1.7479165137501695e-07,-1.3746950355397053e-13,1.0529568211271878e-13,-2.470041247817738e-16,3.5062473571382613e-15,6.362619307288819e-13,-0.00013746949844062328,0.00010529567953199148,0.0006362618878483772,5.7807039295822046e-05,1.342190444120206e-06,1.3709068298339844e-06,2.9782983190784762e-08,0.0,0.0,0.0,anisotropic
6,6.892187341678291e-12,0.016010206192731857,0.9933135509490967,0.993314266204834,0.9933139085769653,1.665016782226303e-07,-1.3746905632057438e-13,1.052952755369041e-13,-2.470031189301489e-16,3.5062369809846575e-15,6.362600333750801e-13,-0.00013746906188316643,0.00010529527207836509,0.0006362599669955671,5.7784725517256564e-05,1.2792406778316945e-06,1.3113021850585938e-06,2.9717023508624152e-08,0.0,0.0,0.0,anisotropic
7,6.892183872231339e-12,0.016010235995054245,0.993314802646637,0.993315577507019,0.9933152198791504,1.757208849539893e-07,-1.3746859553465107e-13,1.0529488251361657e-13,-2.470025630647773e-16,3.5062278753804745e-15,6.362582986516041e-13,-0.00013746859622187912,0.00010529487917665392,0.0006362583371810615,5.776468402023216e-05,1.2225300451973453e-06,1.2516975402832031e-06,2.9796014544558602e-08,0.0,0.0,0.0,anisotropic
8,6.892175198613959e-12,0.016010267660021782,0.9933160543441772,0.9933168292045593,0.9933165311813354,1.7131280571902607e-07,-1.374683109315808e-13,1.0529445560901116e-13,-2.470014248642544e-16,3.506218134501581e-15,6.362565639281281e-13,-0.00013746830518357456,0.0001052944571711123,0.0006362565909512341,5.7746408035763244e-05,1.1769006960093975e-06,1.2516975402832031e-06,2.6025860577760795e-08,0.0,0.0,0.0,anisotropic
9,6.892167826039186e-12,0.01601029559969902,0.993317186832428,0.9933180212974548,0.9933176040649414,1.7466135204813327e-07,-1.3746789080323896e-13,1.0529414390088657e-13,-2.4700041901262954e-16,3.5062088171391613e-15,6.362548834147608e-13,-0.00013746789772994816,0.00010529414430493489,0.0006362549029290676,5.77298777074094e-05,1.1314568837406114e-06,1.1920928955078125e-06,1.7365088922360883e-08,0.0,0.0,0.0,anisotropic
