epoch,cost,mse,gamma_min,gamma_max,gamma_mean,gamma_std,adjoint_grad_min,adjoint_grad_max,adjoint_grad_mean,adjoint_grad_std,adjoint_grad_norm,scaled_grad_min,scaled_grad_max,scaled_grad_norm,param_grad_norm,delta_gamma_mean_abs,delta_gamma_max_abs,delta_gamma_std,tv_raw,tv_loss,tv_weight,tv_type
0,6.892221168786072e-12,0.016010070219635963,0.9933071732521057,0.9933090806007385,0.9933079481124878,3.4710183172137477e-07,-1.3747104854206632e-13,1.0529713223312448e-13,-2.470075923229016e-16,3.5062835677967565e-15,6.362684901520255e-13,-0.00013747105549555272,0.00010529713472351432,0.0006362684071063995,5.4101664104491854e-05,2.2303956939140335e-06,3.3974647521972656e-06,2.6784746864905173e-07,0.0,0.0,0.0,anisotropic
1,6.892202954189575e-12,0.01601012423634529,0.9933091998100281,0.9933119416236877,0.9933102130889893,4.1702134012666647e-07,-1.3747007276011108e-13,1.0529617677995998e-13,-2.4700544827075386e-16,3.506260274390707e-15,6.362642075534441e-13,-0.0001374700659653172,0.00010529617429710925,0.0006362642161548138,5.413959897656991e-05,2.214981577708386e-06,3.5762786865234375e-06,2.889762811264518e-07,0.0,0.0,0.0,anisotropic
2,6.892181270146125e-12,0.016010181978344917,0.9933109879493713,0.9933153986930847,0.993312418460846,6.411393655980646e-07,-1.37469110530683e-13,1.0529513323536896e-13,-2.470026424741161e-16,3.5062346516440525e-15,6.362595454841025e-13,-0.00013746910553891212,0.00010529513383517042,0.0006362595595419407,5.4267217364876824e-05,2.3739175958326086e-06,4.172325134277344e-06,3.615018329128361e-07,0.0,0.0,0.0,anisotropic
3,6.892157851379199e-12,0.01601024530827999,0.993312656879425,0.9933191537857056,0.9933147430419922,9.440805683880171e-07,-1.3746791790829327e-13,1.0529391350792491e-13,-2.469997837379191e-16,3.5062062760403195e-15,6.362544497338918e-13,-0.0001374679122818634,0.00010529391147429124,0.0006362544372677803,5.448638289590714e-05,2.6290654204785824e-06,4.887580871582031e-06,4.6541046572201594e-07,0.0,0.0,0.0,anisotropic
4,6.892128361080108e-12,0.016010312363505363,0.9933143854141235,0.9933240413665771,0.9933174252510071,1.3961233662485029e-06,-1.3746650844546904e-13,1.0529250404510068e-13,-2.4699607796877486e-16,3.506171547689482e-15,6.362481071511827e-13,-0.00013746651529800147,0.0001052925072144717,0.0006362480926327407,5.4817444000300956e-05,2.9432703740894794e-06,5.781650543212891e-06,6.027495373928105e-07,0.0,0.0,0.0,anisotropic
5,6.892091064525374e-12,0.016010388731956482,0.9933161735534668,0.9933298230171204,0.9933203458786011,1.9686408450070303e-06,-1.3746481437957453e-13,1.0529074221657039e-13,-2.4699163104580178e-16,3.506129619558593e-15,6.362404635258667e-13,-0.00013746481272391975,0.00010529073915677145,0.0006362404674291611,5.529286289384973e-05,3.305756763438694e-06,6.735324859619141e-06,7.764325005155115e-07,0.0,0.0,0.0,anisotropic
6,6.892047696438475e-12,0.016010474413633347,0.9933180212974548,0.99333655834198,0.9933236837387085,2.748370889094076e-06,-1.3746280860555543e-13,1.0528872289002414e-13,-2.4698649590855905e-16,3.5060802798894154e-15,6.362315188579437e-13,-0.00013746280455961823,0.00010528872371651232,0.0006362315034493804,5.5952946326372545e-05,3.703593392856419e-06,7.867813110351562e-06,9.911533425110974e-07,0.0,0.0,0.0,anisotropic
7,6.891995221053326e-12,0.01601056568324566,0.9933198094367981,0.9933444261550903,0.9933273792266846,3.7427610095619457e-06,-1.3746043691330312e-13,1.052862969876632e-13,-2.4698014316145464e-16,3.5060211993413444e-15,6.362207852564361e-13,-0.000137460432597436,0.00010528629354666919,0.0006362207932397723,5.684228924990103e-05,4.126613930566236e-06,8.940696716308594e-06,1.2499205013227765e-06,0.0,0.0,0.0,anisotropic
8,6.891929735242108e-12,0.016010666266083717,0.993321418762207,0.9933533072471619,0.9933315515518188,4.9709828999766614e-06,-1.3745771285534475e-13,1.0528342385190612e-13,-2.4697257280448855e-16,3.505951107364959e-15,6.362079916708008e-13,-0.0001374577113892883,0.0001052834268193692,0.0006362079875543714,5.800778108525734e-05,4.5611541281687096e-06,1.0013580322265625e-05,1.5585950450258679e-06,0.0,0.0,0.0,anisotropic
9,6.891853841090034e-12,0.016010774299502373,0.9933229088783264,0.9933632612228394,0.9933360815048218,6.4832383941393346e-06,-1.3745464998420748e-13,1.0528018479791582e-13,-2.46963705428322e-16,3.5058697922020227e-15,6.361931923111463e-13,-0.00013745465548709035,0.00010528018174227327,0.0006361932028084993,5.949891517432449e-05,4.992778485757299e-06,1.1205673217773438e-05,1.9252988749940414e-06,0.0,0.0,0.0,anisotropic
