epoch,cost,mse,gamma_min,gamma_max,gamma_mean,gamma_std,adjoint_grad_min,adjoint_grad_max,adjoint_grad_mean,adjoint_grad_std,adjoint_grad_norm,scaled_grad_min,scaled_grad_max,scaled_grad_norm,param_grad_norm,delta_gamma_mean_abs,delta_gamma_max_abs,delta_gamma_std,tv_raw,tv_loss,tv_weight,tv_type
0,3.3574339055458813e-12,0.005125783383846283,0.9933068156242371,0.9933075904846191,0.9933071732521057,1.7506964411495574e-07,-1.3085467767941922e-13,7.083992680650963e-14,-1.3006386781458834e-16,2.6408748760264845e-15,4.786215369347036e-13,-0.00013085467799101025,7.083992386469617e-05,0.0004786215431522578,3.445549461773636e-07,1.3425960787571967e-08,5.960464477539063e-08,2.8288750897331738e-08,0.0,0.0,0.0,anisotropic
1,3.3574339055458813e-12,0.005125783383846283,0.9933067560195923,0.9933075904846191,0.9933072328567505,1.7547790776006877e-07,-1.3085470478447353e-13,7.083989292519174e-14,-1.3006386781458834e-16,2.640874452510011e-15,4.786215369347036e-13,-0.0001308547070948407,7.083989476086572e-05,0.00047862151404842734,3.4642817265618986e-07,1.236185198649764e-08,5.960464477539063e-08,2.7144279712842945e-08,0.0,0.0,0.0,anisotropic
2,3.3574330381841433e-12,0.005125783383846283,0.9933067560195923,0.9933075904846191,0.9933072328567505,1.7730900481183198e-07,-1.3085470478447353e-13,7.083989292519174e-14,-1.3006381487502914e-16,2.640874452510011e-15,4.786214827245949e-13,-0.0001308547070948407,7.083989476086572e-05,0.0004786214849445969,3.5168071240651284e-07,1.0877556633204222e-08,5.960464477539063e-08,2.5463112507395635e-08,0.0,0.0,0.0,anisotropic
3,3.3574332550245778e-12,0.005125783383846283,0.9933066964149475,0.9933075904846191,0.9933072328567505,1.8109442123659392e-07,-1.3085470478447353e-13,7.083989970145532e-14,-1.3006380164013934e-16,2.640874240751774e-15,4.786214827245949e-13,-0.0001308547070948407,7.083990203682333e-05,0.00047862145584076643,3.595663695446182e-07,1.0459189070388675e-08,5.960464477539063e-08,2.496868134471697e-08,0.0,0.0,0.0,anisotropic
4,3.3574332550245778e-12,0.005125783383846283,0.9933066368103027,0.9933076500892639,0.9933071136474609,1.86408755098455e-07,-1.3085470478447353e-13,7.083989970145532e-14,-1.3006381487502914e-16,2.640874240751774e-15,4.786214827245949e-13,-0.0001308547070948407,7.083990203682333e-05,0.00047862145584076643,3.694519111991e-07,9.913492249324918e-09,5.960464477539063e-08,2.4308210555545884e-08,0.0,0.0,0.0,anisotropic
5,3.3574326045032743e-12,0.005125783383846283,0.9933066368103027,0.9933076500892639,0.9933071136474609,1.9302784437513765e-07,-1.308546234693106e-13,7.083989292519174e-14,-1.3006377517035974e-16,2.6408738172353004e-15,4.786213743043777e-13,-0.00013085461978334934,7.083989476086572e-05,0.00047862136852927506,3.809513550344147e-07,9.467839845456183e-09,5.960464477539063e-08,2.3755767131206085e-08,0.0,0.0,0.0,anisotropic
6,3.3574332550245778e-12,0.005125783383846283,0.993306577205658,0.9933077096939087,0.9933071732521057,2.0099916753224534e-07,-1.3085470478447353e-13,7.083989970145532e-14,-1.3006376193546994e-16,2.6408740289935373e-15,4.786214285144863e-13,-0.0001308547070948407,7.083990203682333e-05,0.000478621426736936,3.937754870891344e-07,9.396899258717895e-09,5.960464477539063e-08,2.366636486783591e-08,0.0,0.0,0.0,anisotropic
7,3.3574326045032743e-12,0.005125783383846283,0.993306577205658,0.9933077096939087,0.9933071136474609,2.1093750035561243e-07,-1.3085470478447353e-13,7.083988614892817e-14,-1.3006373546569033e-16,2.6408736054770636e-15,4.786213200942691e-13,-0.0001308547070948407,7.08398874849081e-05,0.0004786213394254446,4.0760675096731787e-07,8.913048077374697e-09,5.960464477539063e-08,2.3047185493396682e-08,0.0,0.0,0.0,anisotropic
8,3.3574328213437088e-12,0.005125783383846283,0.9933065176010132,0.9933077692985535,0.9933071136474609,2.1929643878593197e-07,-1.3085466412689206e-13,7.083989292519174e-14,-1.3006370899591073e-16,2.6408738172353004e-15,4.786213743043777e-13,-0.00013085466343909502,7.083989476086572e-05,0.00047862136852927506,4.2209771350339466e-07,9.034920367412269e-09,5.960464477539063e-08,2.3206256472008135e-08,0.0,0.0,0.0,anisotropic
9,3.3574326045032743e-12,0.005125783383846283,0.9933064579963684,0.9933077692985535,0.9933071136474609,2.268679821781916e-07,-1.3085470478447353e-13,7.083987259640101e-14,-1.3006372223080053e-16,2.6408736054770636e-15,4.786213200942691e-13,-0.0001308547070948407,7.083987293299288e-05,0.00047862131032161415,4.368634888061416e-07,9.084033081308007e-09,5.960464477539063e-08,2.3269342008802596e-08,0.0,0.0,0.0,anisotropic
10,3.3574317371415363e-12,0.005125783383846283,0.9933064579963684,0.9933078289031982,0.9933071136474609,2.3580392394251248e-07,-1.3085466412689206e-13,7.083985226761028e-14,-1.3006366929124133e-16,2.64087318196059e-15,4.786212658841604e-13,-0.00013085466343909502,7.083985110512003e-05,0.0004786212230101228,4.524517668559015e-07,8.714778232388198e-09,5.960464477539063e-08,2.279144162287139e-08,0.0,0.0,0.0,anisotropic
11,3.3574321708224053e-12,0.005125783383846283,0.9933063983917236,0.9933078289031982,0.9933071136474609,2.4469113668601494e-07,-1.308546505743649e-13,7.083986582013743e-14,-1.3006365605635153e-16,2.6408727584441164e-15,4.786212116740518e-13,-0.0001308546488871798,7.083986565703526e-05,0.00047862116480246186,4.6848137579047236e-07,8.603819878771901e-09,5.960464477539063e-08,2.2645876285309896e-08,0.0,0.0,0.0,anisotropic
12,3.357431953981971e-12,0.005125783383846283,0.9933063983917236,0.993307888507843,0.9933071732521057,2.540023729125096e-07,-1.3085463702183775e-13,7.083985226761028e-14,-1.3006360311679233e-16,2.6408725466858796e-15,4.786211574639432e-13,-0.00013085463433526456,7.083985110512003e-05,0.00047862116480246186,4.849195888709882e-07,8.703864295966923e-09,5.960464477539063e-08,2.2776642794042345e-08,0.0,0.0,0.0,anisotropic
13,3.3574321708224053e-12,0.005125783383846283,0.9933063387870789,0.993307888507843,0.9933071732521057,2.630018798299716e-07,-1.3085463702183775e-13,7.083983193881954e-14,-1.3006362958657193e-16,2.6408723349276427e-15,4.786211032538346e-13,-0.00013085463433526456,7.083982927724719e-05,0.00047862110659480095,5.016076621884218e-07,8.481947588734329e-09,5.960464477539063e-08,2.248482644517935e-08,0.0,0.0,0.0,anisotropic
14,3.3574313034606673e-12,0.005125782918184996,0.9933063387870789,0.9933079481124878,0.9933071732521057,2.721689327245258e-07,-1.308546234693106e-13,7.083983871508312e-14,-1.3006356341212292e-16,2.640871911411169e-15,4.786210490437259e-13,-0.00013085461978334934,7.08398365532048e-05,0.00047862104838714004,5.188483816397998e-07,8.561983122490346e-09,5.960464477539063e-08,2.258991393944143e-08,0.0,0.0,0.0,anisotropic
15,3.3574313034606673e-12,0.005125782918184996,0.9933062791824341,0.9933079481124878,0.9933072328567505,2.798347509269661e-07,-1.3085458281172913e-13,7.083985904387385e-14,-1.3006358988190252e-16,2.640871911411169e-15,4.786209948336173e-13,-0.00013085457612760365,7.083985838107765e-05,0.0004786210192833096,5.364869534602678e-07,8.640199666842818e-09,5.960464477539063e-08,2.2693869894396812e-08,0.0,0.0,0.0,anisotropic
16,3.3574313034606673e-12,0.005125782918184996,0.9933062791824341,0.9933080077171326,0.9933072328567505,2.8799209417229577e-07,-1.3085459636425628e-13,7.083982516255596e-14,-1.3006353694234332e-16,2.6408712761364587e-15,4.786209406235087e-13,-0.00013085459067951888,7.083982200128958e-05,0.0004786209319718182,5.543831776734649e-07,8.5165083874017e-09,5.960464477539063e-08,2.2530544541154995e-08,0.0,0.0,0.0,anisotropic
17,3.3574313034606673e-12,0.005125782918184996,0.9933062195777893,0.9933080077171326,0.9933072328567505,2.979093380872655e-07,-1.308545286016205e-13,7.083983193881954e-14,-1.3006349723767392e-16,2.6408712761364587e-15,4.786209406235087e-13,-0.00013085453247185796,7.083982927724719e-05,0.0004786209319718182,5.727037125070361e-07,8.583810995332897e-09,5.960464477539063e-08,2.2619687456426618e-08,0.0,0.0,0.0,anisotropic
18,3.3574313034606673e-12,0.005125782918184996,0.9933062195777893,0.9933080673217773,0.9933072328567505,3.075876406910538e-07,-1.308545286016205e-13,7.083983193881954e-14,-1.3006353694234332e-16,2.640870852619985e-15,4.786208864134001e-13,-0.00013085453247185796,7.083982927724719e-05,0.0004786208737641573,5.913497668605865e-07,8.758433978073299e-09,5.960464477539063e-08,2.2848578140610698e-08,0.0,0.0,0.0,anisotropic
19,3.357430652939364e-12,0.005125782452523708,0.9933061599731445,0.9933081269264221,0.9933072328567505,3.172391416228493e-07,-1.3085456925920197e-13,7.083981161002881e-14,-1.3006343106322491e-16,2.640870852619985e-15,4.786208322032914e-13,-0.00013085457612760365,7.083981472533196e-05,0.00047862084466032684,6.103756316356453e-07,8.676579454913735e-09,5.960464477539063e-08,2.2741582839103103e-08,0.0,0.0,0.0,anisotropic
20,3.357430652939364e-12,0.005125782452523708,0.9933061599731445,0.9933081865310669,0.9933072328567505,3.2663740512361983e-07,-1.308545286016205e-13,7.083981161002881e-14,-1.3006344429811472e-16,2.6408704291035114e-15,4.786207237830742e-13,-0.00013085453247185796,7.083981472533196e-05,0.00047862075734883547,6.295358580492385e-07,8.893039193935692e-09,5.960464477539063e-08,2.302352442029587e-08,0.0,0.0,0.0,anisotropic
21,3.357430219258495e-12,0.005125782452523708,0.9933061003684998,0.9933082461357117,0.9933071732521057,3.3744044003469753e-07,-1.308545014965662e-13,7.083983193881954e-14,-1.3006341782833511e-16,2.6408700055870378e-15,4.786206695729656e-13,-0.0001308545033680275,7.083982927724719e-05,0.0004786206700373441,6.491494922238007e-07,8.967617759481072e-09,5.960464477539063e-08,2.3118165159985438e-08,0.0,0.0,0.0,anisotropic
