epoch,cost,mse,gamma_min,gamma_max,gamma_mean,gamma_std,adjoint_grad_min,adjoint_grad_max,adjoint_grad_mean,adjoint_grad_std,adjoint_grad_norm,scaled_grad_min,scaled_grad_max,scaled_grad_norm,param_grad_norm,delta_gamma_mean_abs,delta_gamma_max_abs,delta_gamma_std,tv_raw,tv_loss,tv_weight,tv_type
0,3.357441711801523e-12,0.005125780589878559,0.9933039546012878,0.9933047294616699,0.9933043718338013,1.7838290489180508e-07,-1.3085547727852143e-13,7.0840739958139e-14,-1.300649266057724e-16,2.6408905461360087e-15,4.786244100704606e-13,-0.0001308554783463478,7.084073877194896e-05,0.00047862439532764256,3.053513509367253e-05,1.902570147649385e-06,1.9669532775878906e-06,2.499124640564787e-08,0.0,0.0,0.0,anisotropic
1,3.3574365076310952e-12,0.005125786177814007,0.9933058619499207,0.9933066368103027,0.9933062791824341,1.709212398282034e-07,-1.3085501649259812e-13,7.084010976562624e-14,-1.3006438397529058e-16,2.640881017015352e-15,4.78622621136876e-13,-0.0001308550126850605,7.084011303959414e-05,0.0004786226199939847,3.051622437289859e-05,1.730037183733657e-06,1.7881393432617188e-06,2.2896443852005177e-08,0.0,0.0,0.0,anisotropic
2,3.3574304360989293e-12,0.0051257917657494545,0.9933075904846191,0.9933083653450012,0.9933080673217773,1.883065863239608e-07,-1.3085436597129463e-13,7.083985226761028e-14,-1.3006283549318388e-16,2.6408672527299592e-15,4.786201816819879e-13,-0.00013085437240079045,7.083985110512003e-05,0.00047862017527222633,3.049923963118905e-05,1.5993628039723262e-06,1.6689300537109375e-06,2.388009079368203e-08,0.0,0.0,0.0,anisotropic
3,3.357425448768936e-12,0.0051257978193461895,0.9933091998100281,0.9933099746704102,0.993309736251831,1.71225138956288e-07,-1.3085383742273554e-13,7.083945246805917e-14,-1.3006204139979583e-16,2.640857300092829e-15,4.786183927484033e-13,-0.000130853833979927,7.083945092745125e-05,0.00047861839993856847,3.048413895341029e-05,1.492449882789515e-06,1.5497207641601562e-06,2.0696759861493774e-08,0.0,0.0,0.0,anisotropic
4,3.3574213288006804e-12,0.005125802010297775,0.9933106899261475,0.9933114647865295,0.9933110475540161,1.8587724071039702e-07,-1.3085348505702948e-13,7.083896457708155e-14,-1.300616178833222e-16,2.6408501003127773e-15,4.786170374956877e-13,-0.00013085348473396152,7.08389634382911e-05,0.000478617032058537,3.0470541047182484e-05,1.4041943359188735e-06,1.430511474609375e-06,2.959828648840812e-08,0.0,0.0,0.0,anisotropic
5,3.357416775151556e-12,0.005125807132571936,0.9933121204376221,0.9933128952980042,0.9933125972747803,1.6501982713634789e-07,-1.3085301071857902e-13,7.083878839422852e-14,-1.3006030762923191e-16,2.6408388771262262e-15,4.786150317216686e-13,-0.000130853004520759,7.083878881530836e-05,0.0004786150238942355,3.04579392914904e-05,1.329317456111312e-06,1.3709068298339844e-06,2.751496275266163e-08,0.0,0.0,0.0,anisotropic
6,3.3574130888641696e-12,0.005125812720507383,0.9933134317398071,0.9933142066001892,0.9933137893676758,1.7108513361563382e-07,-1.3085257703771003e-13,7.08384563573132e-14,-1.3005955324051327e-16,2.6408306185549905e-15,4.786134596285185e-13,-0.00013085258251521736,7.083845412125811e-05,0.0004786134813912213,3.0446502538163575e-05,1.265892933588475e-06,1.3113021850585938e-06,2.5644347090292285e-08,0.0,0.0,0.0,anisotropic
7,3.357409402576783e-12,0.00512581504881382,0.9933146834373474,0.9933154582977295,0.9933149814605713,1.6767553745467012e-07,-1.3085226532958544e-13,7.0837961690072e-14,-1.3005934148227645e-16,2.6408246893243597e-15,4.786124296364547e-13,-0.00013085226237308234,7.083795935614035e-05,0.00047861243365332484,3.0436089537986734e-05,1.2098917068215087e-06,1.2516975402832031e-06,2.734599036102736e-08,0.0,0.0,0.0,anisotropic
8,3.3574052826085277e-12,0.005125819705426693,0.9933158755302429,0.9933167099952698,0.9933164119720459,1.676858971677575e-07,-1.3085189941135222e-13,7.083775162590109e-14,-1.300584679795496e-16,2.640816218994887e-15,4.786109117534132e-13,-0.00013085189857520163,7.083774835336953e-05,0.00047861089115031064,3.042632888590317e-05,1.1633401300059631e-06,1.1920928955078125e-06,2.9784287036704882e-08,0.0,0.0,0.0,anisotropic
9,3.3574013794807067e-12,0.005125824362039566,0.9933170676231384,0.9933179020881653,0.9933174848556519,1.7154239628780488e-07,-1.3085146573048323e-13,7.083754833799374e-14,-1.3005743565814513e-16,2.6408075369071778e-15,4.786092854501545e-13,-0.00013085146201774478,7.083755190251395e-05,0.0004786092904396355,3.0417243540881316e-05,1.1182510206708685e-06,1.1920928955078125e-06,2.5436394324174216e-08,0.0,0.0,0.0,anisotropic
