epoch,cost,mse,gamma_min,gamma_max,gamma_mean,gamma_std,adjoint_grad_min,adjoint_grad_max,adjoint_grad_mean,adjoint_grad_std,adjoint_grad_norm,scaled_grad_min,scaled_grad_max,scaled_grad_norm,param_grad_norm,delta_gamma_mean_abs,delta_gamma_max_abs,delta_gamma_std,tv_raw,tv_loss,tv_weight,tv_type
0,3.357555553029634e-12,0.005123474635183811,0.9927728772163391,0.9937297105789185,0.9933056831359863,0.00014474947238340974,-1.3084001384503635e-13,7.08485462137809e-14,-1.3009637270393923e-16,2.6410895988786135e-15,4.786606766331303e-13,-0.00013084000966046005,7.084854587446898e-05,0.00047866071690805256,0.00022453557182732897,6.496933929156512e-05,0.0006077289581298828,9.096570283873007e-05,0.0,0.0,0.0,anisotropic
1,3.3549679961247802e-12,0.005121644586324692,0.9926536679267883,0.9939225316047668,0.993304967880249,0.00017411109001841396,-1.3065816603565622e-13,7.070789131069163e-14,-1.2977214437359804e-16,2.6374956380834135e-15,4.78007986925294e-13,-0.00013065816892776638,7.07078943378292e-05,0.0004780080053023994,0.00022836896299447995,5.954074003966525e-05,0.00042313337326049805,8.068034367170185e-05,0.0,0.0,0.0,anisotropic
2,3.352780292981139e-12,0.005119817331433296,0.9925410151481628,0.9943023324012756,0.9933032393455505,0.00023055722704157233,-1.305374265712228e-13,7.060089410879447e-14,-1.2950519664631493e-16,2.6347410869389425e-15,4.775076276226919e-13,-0.00013053743168711662,7.060089410515502e-05,0.0004775076231453568,0.0002627198842405959,5.731303463107906e-05,0.0003304481506347656,7.657175592612475e-05,0.0,0.0,0.0,anisotropic
3,3.350737005566873e-12,0.005118062254041433,0.9923077821731567,0.9946129322052002,0.99330073595047,0.0002943697036243975,-1.3043957732515599e-13,7.050992954652294e-14,-1.292614099761833e-16,2.6323376309511084e-15,4.770709109876148e-13,-0.00013043957005720586,7.05099300830625e-05,0.0004770709201693535,0.00030587487093617353,5.744164081988856e-05,0.00030106306076049805,7.557856588391587e-05,0.0,0.0,0.0,anisotropic
4,3.3487245094943052e-12,0.005116436164826155,0.9920430779457092,0.9948926568031311,0.9932974576950073,0.0003612004220485687,-1.3035313930695458e-13,7.042647986055944e-14,-1.2902410840205409e-16,2.630076476498413e-15,4.766599983642428e-13,-0.00013035314623266459,7.042648212518543e-05,0.0004766600322909653,0.0003480184363846503,5.8607452956493944e-05,0.00027686357498168945,7.582746911793947e-05,0.0,0.0,0.0,anisotropic
5,3.3467133144643446e-12,0.005114946514368057,0.9918031096458435,0.9951415061950684,0.9932932257652283,0.00042983164894394577,-1.3027831580452592e-13,7.034908815423471e-14,-1.2878970526879126e-16,2.627935388965991e-15,4.762707697843205e-13,-0.00013027832028456032,7.034908776404336e-05,0.00047627079766243696,0.000388848558229813,6.069238588679582e-05,0.0002471804618835449,7.724051829427481e-05,0.0,0.0,0.0,anisotropic
6,3.3446832543165828e-12,0.005113570019602776,0.9915988445281982,0.9953576922416687,0.9932881593704224,0.0005003814003430307,-1.3021472734710965e-13,7.027700903855516e-14,-1.2855768441569259e-16,2.6259211446174203e-15,4.759046347106721e-13,-0.00013021472841501236,7.027701212791726e-05,0.00047590461326763034,0.00042875240291381144,6.38122292002663e-05,0.00023955106735229492,7.988927973201498e-05,0.0,0.0,0.0,anisotropic
7,3.3426184996993014e-12,0.005112278275191784,0.9914289116859436,0.9955441355705261,0.9932820200920105,0.0005734283477067947,-1.3016147946791345e-13,7.020929383661986e-14,-1.2832784731941105e-16,2.62403713158449e-15,4.755618641938408e-13,-0.00013016148295719177,7.020929479040205e-05,0.0004755618574563414,0.0004676734523122966,6.76831477903761e-05,0.0002601146697998047,8.341061766259372e-05,0.0,0.0,0.0,anisotropic
8,3.340511894878162e-12,0.0051110414788126945,0.9912856817245483,0.9957003593444824,0.9932747483253479,0.0006494097178801894,-1.301186128245188e-13,7.014550209129625e-14,-1.281009616035551e-16,2.6222837733836735e-15,4.752428919146956e-13,-0.000130118613014929,7.01454991940409e-05,0.0004752428794745356,0.0005056672433157909,7.194177305791527e-05,0.00027698278427124023,8.744794467929751e-05,0.0,0.0,0.0,anisotropic
9,3.3383651745766407e-12,0.005109832622110844,0.9911578893661499,0.9958246350288391,0.993266224861145,0.000728619925212115,-1.3008662886043049e-13,7.008573544653798e-14,-1.2787848310600285e-16,2.62066445814676e-15,4.749481515541054e-13,-0.00013008662790525705,7.008573447819799e-05,0.00047494814498350024,0.0005430306931892879,7.626935257576406e-05,0.00028187036514282227,9.170689736492932e-05,0.0,0.0,0.0,anisotropic
