case,cutoff,waves,mse,rmse,relative_rmse,min,max,mean
1,1,3,0.00983265301111649,0.09915973482778426,0.09916072643502356,0.9493786129772931,1.0299306759631315,0.9896546444702123
1,3,17,0.007897655747675689,0.08886875574506312,0.08886964444148508,0.7352382896404476,1.036484312135902,0.9896546444702123
1,5,45,0.005474632755896617,0.0739907612874514,0.07399150120244473,0.4010239406549883,1.083823841714627,0.9896546444702121
1,7,81,0.003982520046594929,0.06310721073375791,0.06310784181216009,0.15132695447702982,1.142577503324761,0.9896546444702121
1,9,135,0.002723798009076756,0.05219001828967639,0.05219054019506516,-0.022259306700627313,1.165739309611071,0.9896546444702121
1,11,199,0.0019867775975333985,0.04457328345021711,0.044573729187497725,-0.1078647520663808,1.1344079660100617,0.9896546444702122
1,13,277,0.0016060847701705092,0.04007598745097255,0.04007638821484458,-0.18377321141754804,1.1167457105623388,0.9896546444702122
1,15,369,0.0014018453314644426,0.037441225026225336,0.0374415994422103,-0.20674308514084538,1.0998608674953083,0.9896546444702122
1,17,467,0.001303435397985925,0.03610312172078649,0.036103482755604925,-0.23725467560133362,1.1008510297730756,0.9896546444702122
1,19,583,0.0012133401699824175,0.03483303274167234,0.0348333810754743,-0.24145569514147858,1.1170087988555224,0.9896546444702121
1,21,707,0.0011124506082709066,0.03335341973877501,0.033353753276299344,-0.2390177947750589,1.124448676801712,0.9896546444702123
1,23,849,0.0010001608983747877,0.03162532052604033,0.031625636782400164,-0.24536081427573653,1.1303694833972426,0.9896546444702123
1,25,1005,0.0008902335396362382,0.029836781656811417,0.029837080027604157,-0.23124736134611013,1.1295589788665716,0.9896546444702122
1,27,1171,0.0008077035152007147,0.02842012517918798,0.028420409383274635,-0.2270057510114466,1.1269575612930596,0.9896546444702123
1,29,1343,0.00075046330432158,0.027394585310268525,0.027394859258854192,-0.22165160640262827,1.1244060314432116,0.9896546444702123
1,31,1531,0.000708985275531841,0.02662677741544855,0.026627043685878683,-0.20850385948249783,1.1202197412683232,0.9896546444702122
1,33,1737,0.0006741920522816617,0.02596520849678781,0.025965468151462764,-0.21049965364196377,1.1211990344205984,0.9896546444702122
1,35,1961,0.0006358160823546534,0.02521539375767615,0.02521564591412892,-0.19866271445212574,1.1186469863135002,0.9896546444702122
1,37,2183,0.0005996476830783836,0.02448770473275075,0.024487949612240687,-0.18629975747126704,1.1251259797842792,0.9896546444702123
1,39,2427,0.0005605999899393497,0.023676992839871996,0.023677229612162135,-0.18249141673560587,1.123668896500798,0.9896546444702121
1,41,2671,0.0005266406331326768,0.02294865209838427,0.022948881587194343,-0.187795636499406,1.1275108454187541,0.9896546444702121
1,43,2937,0.0004955329810092775,0.022260570096232432,0.02226079270415385,-0.19587099866665314,1.1247350406287882,0.9896546444702122
1,45,3225,0.00047147327833014125,0.02171343543362361,0.021713652570143824,-0.19814598054048554,1.1274366366642974,0.9896546444702121
1,47,3507,0.00045310792106480793,0.021286331789784917,0.021286544655226093,-0.19442484442810748,1.124411449888373,0.9896546444702123
1,49,3811,0.00043342948359067227,0.020818969321046425,0.020819177512816294,-0.18782012358774125,1.129770231791989,0.9896546444702121
1,51,4137,0.00041202650826571653,0.020298436103939548,0.020298639090325324,-0.18055633904065183,1.1252109422402645,0.9896546444702121
1,53,4457,0.00039123868200084845,0.01977975434632211,0.01977995214583857,-0.1689568513096693,1.1270997985991422,0.9896546444702122
1,55,4793,0.00036882678122444467,0.01920486347841204,0.01920505552896248,-0.15944995631321657,1.1274577804424557,0.9896546444702122
1,57,5151,0.00034905904322312075,0.018683121881075463,0.018683308714157885,-0.1619585503636457,1.1269585484406242,0.9896546444702121
1,59,5515,0.00033119303317575774,0.018198709656889352,0.018198891645801213,-0.16186444165781355,1.1317427105523505,0.9896546444702122
1,61,5901,0.00031551584966592723,0.01776276582252683,0.017762943451956864,-0.1514311128503656,1.1403298522304002,0.9896546444702123
1,63,6289,0.0003027289715039964,0.017399108353705842,0.01739928234652491,-0.14291681492469838,1.139283045432405,0.9896546444702122
1,65,6700,0.00028775369963902284,0.016963304502337476,0.016963474137074563,-0.14681739922115944,1.1529554805556481,0.9896546444702122
1,67,7046,0.0002730523854257164,0.016524296820915448,0.016524462065531927,-0.14956214437311743,1.155945811454206,0.9896546444702121
1,69,7398,0.0002574405863883988,0.01604495516941069,0.016045115620562843,-0.15167486309192357,1.143481660660747,0.9896546444702122
1,71,7722,0.0002410001151562857,0.015524178405193805,0.01552433364852637,-0.13792769929095017,1.1288953307697658,0.9896546444702122
1,73,8050,0.00022711792949429283,0.015070432292880414,0.015070582998706594,-0.12847684722753383,1.1305715167164228,0.9896546444702123
1,75,8366,0.00021703741666600286,0.014732189812312455,0.01473233713568009,-0.12815666148101146,1.1300047987289956,0.9896546444702122
1,77,8668,0.00020790622399518714,0.01441895363732012,0.014419097828294761,-0.12996711208522704,1.132048801952924,0.9896546444702122
1,79,8974,0.00019968430584721685,0.0141309697419256,0.01413111105303256,-0.13812461981659607,1.1370209314360604,0.9896546444702121
1,81,9280,0.0001907114507490548,0.013809831669830549,0.013809969769524755,-0.1440749057812465,1.1458518654592282,0.9896546444702122
1,83,9582,0.00018032339761576947,0.01342845477394065,0.013428589059827856,-0.1547994328487925,1.1470210306247466,0.9896546444702123
1,85,9882,0.00016826178610034276,0.012971576083897545,0.012971705800952279,-0.160201247507179,1.1553199031393515,0.9896546444702122
1,87,10172,0.0001565768100008408,0.012513065571667113,0.012513190703570988,-0.1599472553874864,1.1552079211565562,0.9896546444702123
1,89,10454,0.00014604276527868264,0.012084815483849253,0.012084936333209532,-0.15465718193083566,1.1501608317943433,0.9896546444702123
1,91,10750,0.00013701983328544889,0.01170554711602362,0.011705664172662389,-0.1528306978568177,1.1493746992434648,0.9896546444702123
1,93,11036,0.00012946844562942107,0.011378420172828084,0.01137853395816479,-0.16071141840251268,1.1581291537627598,0.9896546444702121
1,95,11326,0.00012170919787039106,0.011032189169443709,0.011032299492435846,-0.16172367540623095,1.1629992303306742,0.9896546444702122
1,97,11602,0.00011372220128776825,0.010664061200488689,0.010664167842164417,-0.16717245960379334,1.1636343062470293,0.9896546444702122
1,99,11892,0.00010567747011056556,0.010279954771815173,0.0102800575723883,-0.1624385785093594,1.1562528812691553,0.9896546444702122
1,100,12038,0.0001020986291582596,0.010104386629492144,0.010104487674366336,-0.155967268738244,1.1483830091047085,0.9896546444702122
