trial,method,case_id,epochs,run_dir,lr,costScaling,hidden_features,hidden_layers,alpha,beta,seed,runtime_seconds,final_cost,best_cost,final_mse,best_mse,omega0
1,inr_fwi,1,35,runs\tuning\inr_tuning_case1_20260525_022437\trial001_inr_fwi_case1_lr3e-05_cs1e+08_hf128_hl4,3e-05,100000000.0,128,4,-0.5,0.2,50,634.2972443000035,9.106112565382407e-12,9.106112565382407e-12,0.12256767600774765,0.12256767600774765,
2,inr_fwi,1,35,runs\tuning\inr_tuning_case1_20260525_022437\trial002_inr_fwi_case1_lr3e-05_cs3e+08_hf128_hl4,3e-05,300000000.0,128,4,-0.5,0.2,50,627.7455519000068,9.104484527400203e-12,9.104484527400203e-12,0.1225583627820015,0.1225583627820015,
3,inr_fwi,1,35,runs\tuning\inr_tuning_case1_20260525_022437\trial003_inr_fwi_case1_lr3e-05_cs1e+09_hf128_hl4,3e-05,1000000000.0,128,4,-0.5,0.2,50,626.7986685000069,9.103958906186982e-12,9.103958906186982e-12,0.12255477905273438,0.12255477905273438,
4,inr_fwi,1,35,runs\tuning\inr_tuning_case1_20260525_022437\trial004_inr_fwi_case1_lr3e-05_cs3e+09_hf128_hl4,3e-05,3000000000.0,128,4,-0.5,0.2,50,626.6672456000088,9.103813189415e-12,9.103813189415e-12,0.12255372107028961,0.12255372107028961,
5,inr_fwi,1,35,runs\tuning\inr_tuning_case1_20260525_022437\trial005_inr_fwi_case1_lr3e-05_cs1e+10_hf128_hl4,3e-05,10000000000.0,128,4,-0.5,0.2,50,627.1443592999858,9.10376114771072e-12,9.10376114771072e-12,0.12255332618951797,0.12255332618951797,
6,inr_fwi,1,35,runs\tuning\inr_tuning_case1_20260525_022437\trial006_inr_fwi_case1_lr1e-04_cs1e+08_hf128_hl4,0.0001,100000000.0,128,4,-0.5,0.2,50,627.1997742999811,6.814614844641298e-12,6.814614844641298e-12,0.0995873510837555,0.0995873510837555,
7,inr_fwi,1,35,runs\tuning\inr_tuning_case1_20260525_022437\trial007_inr_fwi_case1_lr1e-04_cs3e+08_hf128_hl4,0.0001,300000000.0,128,4,-0.5,0.2,50,626.3565074999933,6.810031271536898e-12,6.810031271536898e-12,0.09954440593719482,0.09954440593719482,
8,inr_fwi,1,35,runs\tuning\inr_tuning_case1_20260525_022437\trial008_inr_fwi_case1_lr1e-04_cs1e+09_hf128_hl4,0.0001,1000000000.0,128,4,-0.5,0.2,50,626.4232527000131,6.808579307987506e-12,6.808579307987506e-12,0.09952908009290695,0.09952908009290695,
9,inr_fwi,1,35,runs\tuning\inr_tuning_case1_20260525_022437\trial009_inr_fwi_case1_lr1e-04_cs3e+09_hf128_hl4,0.0001,3000000000.0,128,4,-0.5,0.2,50,626.6568041999999,6.808179020545424e-12,6.808179020545424e-12,0.09952428936958313,0.09952428936958313,
10,inr_fwi,1,35,runs\tuning\inr_tuning_case1_20260525_022437\trial010_inr_fwi_case1_lr1e-04_cs1e+10_hf128_hl4,0.0001,10000000000.0,128,4,-0.5,0.2,50,627.9408715000027,6.808040242667346e-12,6.808040242667346e-12,0.09952270984649658,0.09952270984649658,
